id,title,isPartOf,publicationYear,doi,docType,docSubType,provider,collection,datePublished,issueNumber,volumeNumber,url,creator,publisher,language,pageStart,pageEnd,placeOfPublication,keyphrase,wordCount,pageCount,outputFormat
http://www.jstor.org/stable/10.13110/humanbiology.86.1.0069,Did Pre-Clovis People Inhabit the Paisley Caves (and Why Does It Matter)?,Human Biology,2014,,article,research-article,jstor,,2014-02-01,1,86,http://www.jstor.org/stable/10.13110/humanbiology.86.1.0069,Stuart J. Fiedel,Wayne State University Press,en,69,74,,paisley caves; clovis; coprolites; human coprolites; jenkins; haplogroup; coprolites dated; younger dryas; western stemmed; great basin,3395,6,unigrams; bigrams; trigrams
ark://27927/pgk1pjmkthf,36) RAPID DIETARY SHIFT AT 4 000 CALBC?,Acta Archaeologica,2015,10.1111/j.1600-0390.2015.12035.x,article,article,portico,,2015-12-01,1,86,http://doi.org/10.1111/j.1600-0390.2015.12035.x,,"John Wiley & Sons, Inc.",eng,128,129,,neolithic; mesolithic; southern scandinavia; marine; rowley conwy; mesolithic neolithic; neolithic trb; petersen meiklejohn; noe nygaard; early neolithic,1571,2,unigram; bigram; trigram
http://www.jstor.org/stable/25081180,"The Force of Food: Life on the Atkins Family Sugar Plantation in Cienfuegos, Cuba, 1884-1900",Massachusetts Historical Review,2003,,article,research-article,jstor,,2003-01-01,,5,http://www.jstor.org/stable/25081180,Rebekah E. Pite,Massachusetts Historical Society,eng,58,93,,atkins; soledad; plantation; former slaves; murray; spanish; laborers; edwin atkins; massachusetts historical; estate,13707,36,unigrams; bigrams; trigrams
ark://27927/pjb7gq3dkw0,New integrated molecular approaches for investigating lake settlements in north-western Europe,Antiquity,2022,10.15184/aqy.2022.70,article,research-article,portico,,2022-10-01,389,96,http://doi.org/10.15184/aqy.2022.70,Nicki J. Whitehouse; Katie Head; Peter Langdon; Helen Mackay; Andrew C.G. Henderson; Duncan Pirrie; Finbar McCormick; Thierry Fonville; Maarten van Hardenbroek; Graeme Cavers; Phil Barratt; Inger G. Alsos; Emily Murray; Kim Davies; Antony G. Brown; Anne Crone,Cambridge University Press,eng,1179,1199,,lough yoan; antiquity publications; lake settlements; yoan north; ireland; white loch; scotland; excavation; sediment; investigating lake,8792,21,unigram; bigram; trigram
ark://27927/pjb96sswd2c,Editorial 2023,Ecology of Freshwater Fish,2023,10.1111/eff.12689,article,editorial,portico,,2023-01-01,1,32,http://doi.org/10.1111/eff.12689,David C. Heins; Phaedra Budy; Asbjørn Vøllestad; Nuria Sanz Ball‐Ilosera,"John Wiley & Sons, Inc.",eng,1,9,,freshwater fish; salmo salar; ecology; zaia alves; neotropical fish; university; phaedra budy; michael; atlantic salmon; ictalurus punctatus,3523,9,unigram; bigram; trigram
ark://27927/phz1h02gtk3,Defining the convergence of ethylene and auxin signaling in tomato,New Phytologist,2018,10.1111/nph.15251,article,,portico,,2018-07-01,2,219,http://doi.org/10.1111/nph.15251,Saleh Alseekh; Alisdair R. Fernie,"John Wiley & Sons, Inc.",eng,479,481,,ethylene; auxin signaling; new phytologist; tomato; ethylene auxin; aux iaa; fruit ripening; ethylene and auxin; ethylene signaling; auxin biosynthesis,2100,3,unigram; bigram; trigram
ark://27927/phzg42m83g0,The Integration of Farmers and Nomads: Archaeological Evidence for the Human Subsistence Strategy in Northwestern China during the Han Dynasty,Acta Geologica Sinica,2020,10.1111/1755-6724.14536,article,,portico,,2020-06-01,3,94,http://doi.org/10.1111/1755-6724.14536,Minxia LU; Yifu CUI; Xin LI; Minmin MA; Ruiliang LIU,"John Wiley & Sons, Inc.",eng,603,611,,dynasty; millet; hexi corridor; dynasty tombs; nomads; isotopic; ventresca miller; northwestern china; bronze age; subsistence,7080,9,unigram; bigram; trigram
http://www.jstor.org/stable/10.13173/jasiahist.47.1.0001,"<em>Yersinia pestis</em>, the Bacterium of Plague, Arose in East Asia. Did it Spread Westwards via the Silk Roads, the Chinese Maritime Expeditions of Zheng He or over the Vast Eurasian Populations of Sylvatic (Wild) Rodents?",Journal of Asian History,2013,,article,research-article,jstor,,2013-01-01,1,47,http://www.jstor.org/stable/10.13173/jasiahist.47.1.0001,Ole J. Benedictow,Harrassowitz Verlag,en,1,31,,plague; bubonic plague; pestis; yersinia pestis; black death; silk roads; plague epidemics; east asia; pandemic; plague arose,15731,31,unigrams; bigrams; trigrams
ark://27927/pgh1drwm7j3,Is double inactivation of the Nf1 gene responsible for the development of congenital pseudarthrosis of the tibia associated with NF1?,Journal of Orthopaedic Research,2012,10.1002/jor.22121,article,,portico,,2012-10-01,10,30,http://doi.org/10.1002/jor.22121,Won Joon Yoo; In Ho Choi; Sang Min Lee; Tae‐Joon Cho; Moon Seok Park; Dong Yeon Lee; Hye Ran Lee; Chin Youb Chung,"John Wiley & Sons, Inc.",eng,1535,1540,,fibrous hamartoma; hamartoma tissue; congenital pseudarthrosis; clonality; clonal growth; genetic markers; neurofibromatosis; patients; neurofibromatosis type; inactivation,3951,6,unigram; bigram; trigram
ark://27927/pgk1ggt4vbh,Multidisciplinary investigation of identity of the “Areni” grape variety,BIO Web of Conferences,2015,10.1051/bioconf/20150501013,article,,portico,,2015-07-01,null,5,http://doi.org/10.1051/bioconf/20150501013,Tamara Bagoyan; Nelli Hovhannisyan; Gagik Melyan; Marina Dallakyan; Aleksandr Yesayan; Boris Gasparyan; Jean-Marie Aurand,EDP Sciences,eng,,,,areni vankapatkan; areni variety; armenia; vineyards; medieval grape; accessions; grape collection; viticulture; seyrak areni; sev areni,2789,4,unigram; bigram; trigram
ark://27927/pjb1wdbd263,‘Order from disorder sprung’: recognition and regulation in the immune system,Philosophical Transactions A,2003,10.1098/rsta.2003.1196,article,research-article,portico,,2003-06-15,1807,361,http://doi.org/10.1098/rsta.2003.1196,J. Skår; Tak W. Mak; P. V. Coveney,The Royal Society,eng,1235,1250,,immune; pathogen; signalling; ector cells; immune response; activation; cell activation; innate immune; cytokines; phil trans,7866,16,unigram; bigram; trigram
