"Full Date One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE"
"168 calBCE - 11 calCE (2067±31 BP, SUERC-52143)"
"151 calBCE - 62 calCE (2040±30 BP, SUERC-27301)"
"84-229 calCE (1883±24 BP, SUERC-104571)"
"193-6 calBCE (2084±30 BP, SUERC-27314)"
"1411-1203 calBCE (3040±35 BP, SUERC-40714)"
"1533-1417 calBCE (3210±35 BP, SUERC-40723)"
"1381-1056 calBCE (2985±35 BP, SUERC-16818)"
"1410-1227 calBCE (3057±28 BP, SUERC-95020)"
"1518-1425 calBCE (3213±28 BP, SUERC-41692)"
"1532-1431 calBCE (3222±28 BP, SUERC-41699)"
"1504-1403 calBCE (3173±29 BP, SUERC-41695)"
"1503-1401 calBCE (3169±28 BP, SUERC-41700)"
"1408-1226 calBCE (3055±30 BP, SUERC-40297)"
"1519-1422 calBCE (3210±30 BP, SUERC-40300)"
"1391-1129 calBCE (3019±31 BP, SUERC-49774)"
"1261-1055 calBCE (2956±28 BP, SUERC-49769)"
"7476-7085 calBCE (8270±45 BP, OxA-23812)"
"8751-8433 calBCE (9340±50 BP, OxA-34338)"
"8615-7966 calBCE (9100±100 BP, OxA-814)"
"7476-7085 calBCE (8270±45 BP, OxA-23812)"
"8615-7966 calBCE (9100±100 BP, OxA-814)"
"8606-8300 calBCE (9230±50 BP, OxA-34339)"
"8615-7966 calBCE (9100±100 BP, OxA-814)"
"392-204 calBCE (2248±30 BP, SUERC-94978)"
"407-211 calBCE (2297±30 BP, SUERC-94981)"
"381-197 calBCE (2215±28 BP, SUERC-86441)"
"379-197 calBCE (2214±27 BP, SUERC-97413)"
"405-209 calBCE (2291±29 BP, SUERC-49492)"
"382-200 calBCE (2223±26 BP, BRAMS-1695)"
"377-197 calBCE (2213±26 BP, BRAMS-1691)"
"390-171 calBCE (2217±44 BP, UBA-30798)"
"513-210 calBCE (2321±36 BP, UBA-32284)"
"361-177 calBCE (2200±20 BP, PSUAMS-8287)"
"381-203 calBCE (2230±20 BP, PSUAMS-8289)"
"366-176 calBCE (2203±26 BP, SUERC-73822)"
"400-208 calBCE (2276±30 BP, SUERC-94980)"
"368-173 calBCE (2200±30 BP, SUERC-49491)"
"398-208 calBCE (2270±30 BP, SUERC-26240)"
"389-208 calBCE (2249±20 BP, SUERC-41926)"
"381-179 calBCE (2214±30 BP, SUERC-49488)"
"512-236 calBCE (2334±29 BP, SUERC-49494)"
"390-202 calBCE (2240±30 BP, SUERC-40301)"
"393-206 calBCE (2255±30 BP, SUERC-40302)"
"401-208 calBCE (2280±30 BP, SUERC-40712)"
"371-176 calBCE (2205±30 BP, SUERC-27303)"
"368-173 calBCE (2200±30 BP, SUERC-27302)"
"387-203 calBCE (2237±28 BP, OxA-17802)"
"401-208 calBCE (2279±31 BP, SUERC-76366)"
"514-234 calBCE (2333±31 BP, SUERC-76365)"
"382-197 calBCE (2216±30 BP, SUERC-95009)"
"362-163 calBCE (2184±27 BP, SUERC-97421)"
"393-206 calBCE (2256±30 BP, SUERC-95010)"
"387-201 calBCE (2231±30 BP, SUERC-95012)"
